zip5,county_fips,CBSA Code,CBSA Title
99557,02050,,
99576,02070,,
99566,02066,,
99740,02290,,
99768,02290,,
99627,02290,,
99730,02290,,
99738,02240,,
99635,02122,,
99667,02170,11260,"Anchorage, AK"
99780,02240,,
99691,02290,,
99737,02240,,
99615,02150,,
99772,02180,,
99752,02188,,
99573,02066,,
97910,41045,36620,"Ontario, OR-ID"
99574,02063,,
99712,02090,21820,"Fairbanks-College, AK"
99743,02068,,
99739,02180,,
89412,32031,39900,"Reno, NV"
85634,04019,46060,"Tucson, AZ"
82414,56029,17650,"Cody, WY"
99664,02122,,
99640,02164,,
99760,02290,,
99729,02170,11260,"Anchorage, AK"
88030,35029,19700,"Deming, NM"
99835,02220,,
82633,56009,,
59538,30071,,
89049,32023,37220,"Pahrump, NV"
99929,02275,,
99781,02290,,
59301,30017,,
88201,35005,40740,"Roswell, NM"
99921,02198,,
81640,08081,44460,"Steamboat Springs, CO"
99801,02110,27940,"Juneau, AK"
99519,02185,,
89301,32033,,
59337,30033,,
83539,16049,,
89445,32013,49080,"Winnemucca, NV"
89820,32015,,
59327,30087,,
89310,32015,,
89406,32001,21980,"Fallon, NV"
99588,02066,,
99833,02195,,
88220,35015,16100,"Carlsbad-Artesia, NM"
99756,02290,,
59725,30001,,
99674,02170,11260,"Anchorage, AK"
99586,02066,,
89835,32007,21220,"Elko, NV"
99684,02180,,
89008,32017,,
88435,35019,,
78880,48137,,
92328,06027,13860,"Bishop, CA"
83226,16037,,
82190,56029,17650,"Cody, WY"
99827,02100,,
99762,02180,,
99901,02130,28540,"Ketchikan, AK"
82834,56019,,
99688,02170,11260,"Anchorage, AK"
83278,16037,,
87821,35003,,
83611,16085,,
59645,30059,,
88119,35011,,
87701,35047,29780,"Las Vegas, NM"
82718,56005,23940,"Gillette, WY"
97721,41025,,
87825,35053,,
99683,02170,11260,"Anchorage, AK"
76943,48105,,
84313,49003,14940,"Brigham City, UT-ID"
59523,30005,,
81625,08081,44460,"Steamboat Springs, CO"
81641,08103,,
59230,30105,,
82520,56013,40180,"Riverton, WY"
59936,30029,28060,"Kalispell, MT"
79843,48377,,
83647,16039,34300,"Mountain Home, ID"
89045,32023,37220,"Pahrump, NV"
83650,16073,14260,"Boise City, ID"
82513,56013,40180,"Riverton, WY"
89043,32017,,
76950,48435,,
97906,41045,36620,"Ontario, OR-ID"
59923,30053,,
59317,30075,,
82701,56045,,
87829,35003,,
99764,02240,,
59324,30011,,
84540,49019,,
99686,02063,,
80480,08057,,
84741,49025,,
85365,04027,49740,"Yuma, AZ"
59427,30035,,
84078,49047,46860,"Vernal, UT"
83469,16059,,
69201,31031,,
97754,41013,13460,"Bend, OR"
87740,35007,,
57720,46063,,
84029,49045,41620,"Salt Lake City-Murray, UT"
59501,30041,,
59349,30079,,
88210,35015,16100,"Carlsbad-Artesia, NM"
84533,49037,,
86337,04025,39150,"Prescott Valley-Prescott, AZ"
79734,48243,,
82009,56021,16940,"Cheyenne, WY"
59087,30069,,
88020,35023,,
86020,04005,22380,"Flagstaff, AZ"
92277,06071,40140,"Riverside-San Bernardino-Ontario, CA"
89316,32011,21220,"Elko, NV"
79735,48371,,
86401,04015,29420,"Lake Havasu City-Kingman, AZ"
59241,30105,,
89801,32007,21220,"Elko, NV"
59215,30055,,
59072,30065,,
86047,04017,43320,"Show Low, AZ"
87832,35053,,
85321,04019,46060,"Tucson, AZ"
59422,30099,,
82201,56031,,
92266,06025,20940,"El Centro, CA"
82716,56005,23940,"Gillette, WY"
86435,04005,22380,"Flagstaff, AZ"
97720,41025,,
79830,48043,,
93634,06019,23420,"Fresno, CA"
69346,31165,,
88415,35059,,
86033,04017,43320,"Show Low, AZ"
79022,48111,,
85643,04009,40940,"Safford, AZ"
59410,30049,25740,"Helena, MT"
83251,16037,,
99676,02170,11260,"Anchorage, AK"
85936,04001,,
57532,46117,38180,"Pierre, SD"
88203,35005,40740,"Roswell, NM"
59520,30015,,
81648,08103,,
88045,35023,,
87901,35051,,
82901,56037,40540,"Rock Springs, WY"
86432,04015,29420,"Lake Havasu City-Kingman, AZ"
97842,41063,,
78832,48271,,
89834,32007,21220,"Elko, NV"
85360,04015,29420,"Lake Havasu City-Kingman, AZ"
99603,02122,,
82639,56019,,
82443,56017,,
82225,56027,,
82604,56025,16220,"Casper, WY"
97630,41037,,
78840,48465,19620,"Del Rio, TX"
59935,30053,,
81230,08051,,
59761,30001,,
79772,48389,45880,"Town of Pecos, TX"
59471,30027,,
83464,16059,,
59739,30001,,
98826,53007,48300,"Wenatchee-East Wenatchee, WA"
81049,08071,,
82070,56001,29660,"Laramie, WY"
57625,46041,,
86036,04005,22380,"Flagstaff, AZ"
88040,35023,,
81147,08007,,
82923,56035,,
59457,30027,,
99613,02164,,
80720,08121,,
59524,30071,,
59330,30021,,
04441,23021,,
57760,46019,,
81630,08045,40090,"Rifle, CO"
73933,40025,,
86438,04015,29420,"Lake Havasu City-Kingman, AZ"
83113,56035,,
79045,48117,25820,"Hereford, TX"
97836,41049,25840,"Hermiston-Pendleton, OR"
86503,04001,,
92332,06071,40140,"Riverside-San Bernardino-Ontario, CA"
56627,27071,,
76936,48413,,
98926,53037,21260,"Ellensburg, WA"
59928,30029,28060,"Kalispell, MT"
