cik,zip,state,city
20,08071-0888,NJ,PITMAN
1750,60191,IL,WOOD DALE
1800,60064-3500,IL,ABBOTT PARK
1923,30339-2029,GA,ALTANTA
2034,11050,NY,PORT WASHINGTON
2062,06050-2350,CT,NEW BRITAIN
2098,06484,CT,SHELTON
2110,02210,MA,BOSTON
2135,75204,TX,DALLAS
2178,77019,TX,HOUSTON
2230,21202,MD,BALTIMORE
2488,95054,CA,SANTA CLARA
2491,89119,NV,LAS VEGAS
2589,55107,MN,ST PAUL
2601,11803,NY,PLAINVIEW
2691,07302,NJ,JERSEY CITY
2969,18106-5500,PA,ALLENTOWN
3116,60045,IL,LAKE FOREST
3133,35203,AL,BIRMINGHAM
3153,35291,AL,BIRMINGHAM
3197,75001,TX,ADDISON
3327,60160,IL,MELROSE PARK
3333,83726,ID,BOISE
3370,19482,PA,VALLEY FORGE
3453,96819,HI,HONOLULU
3499,07652,NJ,PARAMUS
3521,10004,NY,NEW YORK
3545,33913,FL,"FT. MYERS,"
3570,77002,TX,HOUSTON
3673,15601,PA,GREENSBURG
3794,10001,NY,NEW YORK
3906,20006,DC,WASHINGTON
4123,30326-1022,GA,ATLANTA
4127,92617,CA,IRVINE
4164,07073,NJ,EAST RUTHERFORD
4281,15212-5872,PA,PITTSBURGH
4317,84111,UT,SALT LAKE CITY
4344,75247,TX,DALLAS
4405,90071,CA,LOS ANGELES
4447,77002,TX,HOUSTON
4457,89511,NV,RENO
4568,92618,CA,IRVINE
4611,02481,MA,WELLESLEY HILLS
4904,43215,OH,COLUMBUS
4962,10285,NY,NEW YORK
4977,31999,GA,COLUMBUS
5094,30309,GA,ATLANTA
5100,77046,TX,HOUSTON
5117,08054,UT,MT LAUREL
5133,44145,OH,CLEVELAND
5187,07940,NJ,MADISON
5272,10020-1304,NY,NEW YORK
5506,90071,CA,LOS ANGELES
5513,37402,TN,CHATTANOOGA
5768,01821,MA,BILLERICA
5907,07921,NJ,BEDMINSTER
5981,92660,CA,NEWPORT BEACH
6176,15106,PA,CARNEGIE
6201,76155,TX,FORT WORTH
6260,92128,CA,SAN DIEGO
6281,01887,MA,WILMINGTON
6284,01960,MA,PEABODY
6292,55435,MN,MINNEAPOLIS
6314,13057,NY,EAST SYRACUSE
6383,10022,NY,NEW YORK
6571,63017-3406,MO,CHESTERFIELD
6720,10580,NY,RYE
6769,77042,TX,HOUSTON
6814,11714,NY,BETHPAGE
6845,55435,MN,MINNEAPOLIS
6885,77027,TX,HOUSTON
6951,95054-3299,CA,SANTA CLARA
6955,53203-2917,WI,MILWAUKEE
7084,60601,IL,CHICAGO
7332,77389,TX,SPRING
7431,17603,PA,LANCASTER
7536,80112,CO,CENTENNIAL
7623,50514,IA,ARMSTRONG
7645,07932,NJ,FLORHAM PARK
7694,41012,KY,COVINGTON
7789,54301,WI,GREEN BAY
8063,14052-2164,NY,EAST AURORA
8146,02893,RI,WEST WARWICK
8177,30319,GA,ATLANTA
8411,77094,TX,HOUSTON
8670,07068,NJ,ROSELAND
8818,44060,OH,MENTOR
8855,75261,TX,DFW AIRPORT
8858,85034,AZ,PHOENIX
8868,10901,NY,SUFFERN
8947,76107,TX,FORT WORTH
9014,43219,OH,COLUMBUS
9092,53223,WI,MILWAUKEE
9235,92618,CA,IRVINE
9263,15108,PA,MOON TOWNSHIP
9326,07645,NJ,MONTVALE
9342,72902-2400,AR,FORT SMITH
9346,46032,IN,CARMEL
9389,80021,CO,WESTMINSTER
9521,07960,NJ,MORRISTOWN
9534,52761-5886,IA,MUSCATINE
9626,10286,NY,NEW YORK
9779,22102,VA,MCLEAN
9801,54952,WI,MENASHA
9892,07974,NJ,MURRAY HILL
9984,06010,CT,BRISTOL
10048,77046,TX,HOUSTON
10081,07645-1523,NJ,MONTVALE
10329,24055,VA,BASSETT
10427,14604-2701,NY,ROCHESTER
10456,60015,IL,DEERFIELD
10795,07417-1880,NJ,FRANKLIN LAKES
