accession_number,cik,fyear,fiscal_year_end,aud_firm,filing_date,status,dei_word_count,gender_word_count,workforce_dei_count,dei_char_length,dei_section_count,total_doc_length
0001021408-03-000610,1096376,2002,2002-02-13,kpmg,2003-01-27,ok,2,0,0,959,2,43527
0000006383-03-000021,6383,2002,2002-02-28,pwc,2003-01-28,ok,4,0,1,43993,3,65114
0000950124-03-000380,1003648,2002,2002-03-29,pwc,2003-02-19,ok,3,0,0,2122,3,33790
0001206774-03-000142,1023744,2002,2002-03-31,pwc,2003-03-18,ok,13,0,1,7666,13,168627
0001145443-03-000360,1028621,2002,2002-03-31,deloitte,2003-03-17,ok,2,0,1,1133,3,43022
0000719603-03-000001,719603,2002,2002-03-31,pwc,2003-01-17,ok,1,0,0,357,1,41123
0000930413-03-001022,1089876,2002,2002-03-31,ey,2003-03-31,ok,6,0,2,2714,6,90904
0001093801-03-000302,819479,2002,2002-03-31,deloitte,2003-03-04,ok,4,0,1,2780,4,46499
0000919086-03-000003,722885,2002,2002-03-31,pwc,2003-03-18,ok,2,0,0,1340,2,28557
0000882377-03-000005,1016178,2002,2002-03-31,kpmg,2003-01-02,ok,6,0,2,6111,6,132981
0000919574-03-000179,906013,2002,2002-03-31,ey,2003-02-04,ok,4,0,0,1060,2,57311
0001133884-03-000228,1029068,2002,2002-04-30,pwc,2003-04-10,ok,2,0,6,2985,7,88234
0000930413-03-000811,881466,2002,2002-04-30,deloitte,2003-03-11,ok,0,0,0,0,0,87398
0001135428-03-000030,915802,2002,2002-04-30,deloitte,2003-01-17,ok,3,0,0,1081,2,105548
0001047469-03-012109,876043,2002,2002-04-30,ey,2003-04-07,ok,8,0,0,4069,8,199420
0000768119-03-000017,768119,2002,2002-04-30,deloitte,2003-04-01,ok,11,0,6,12964,15,121216
0000950134-03-006660,1010610,2002,2002-05-31,ey,2003-04-29,ok,5,0,0,2540,5,100372
0001012870-03-001593,1070380,2002,2002-05-31,ey,2003-04-04,ok,3,0,0,1421,2,51174
0000928385-03-001452,1040241,2002,2002-05-31,deloitte,2003-05-06,ok,1,0,1,1344,2,52574
0000950135-03-002937,915390,2002,2002-05-31,pwc,2003-05-09,ok,8,0,21,10149,18,225530
0001010521-03-000051,899581,2002,2002-05-31,deloitte,2003-01-28,ok,4,0,0,1549,3,47098
0000950109-03-000030,900724,2002,2002-05-31,deloitte,2003-01-07,ok,0,0,0,0,0,18732
0000891618-03-001763,790023,2002,2002-05-31,kpmg,2003-04-09,ok,5,0,0,8409,4,73395
0000950153-03-000757,1063946,2002,2002-05-31,kpmg,2003-04-21,ok,8,0,3,6501,11,100860
0000940394-03-000216,31266,2002,2002-06-18,deloitte,2003-04-07,ok,2,0,0,937,2,41094
0001135428-03-000270,855237,2002,2002-06-30,pwc,2003-05-02,ok,1,0,0,664,1,50983
0000032878-03-000004,32878,2002,2002-06-30,deloitte,2003-01-15,ok,8,0,2,4042,7,76879
0000894189-03-000234,1129866,2002,2002-06-30,ey,2003-02-28,ok,14,0,2,6874,16,92595
0001145443-03-000023,763852,2002,2002-06-30,pwc,2003-01-07,ok,1,0,7,4953,7,79643
0000351903-03-000004,351903,2002,2002-06-30,ey,2003-01-02,ok,2,0,0,1324,2,56648
0000950147-03-000055,889971,2002,2002-06-30,kpmg,2003-01-24,ok,2,0,0,1437,2,55517
0000950147-03-000328,877931,2002,2002-06-30,kpmg,2003-03-14,ok,14,0,0,12585,9,61230
0000892712-03-000177,1014913,2002,2002-06-30,ey,2003-03-10,ok,3,0,1,3778,4,59605
0000728889-03-000336,312538,2002,2002-06-30,deloitte,2003-06-10,ok,7,0,2,5555,7,140915
0001010521-03-000052,863328,2002,2002-06-30,deloitte,2003-01-28,ok,4,0,0,1549,3,47088
0000894189-03-000134,831957,2002,2002-06-30,ey,2003-02-12,ok,14,0,2,6865,16,93886
0000950136-03-000245,880432,2002,2002-06-30,ey,2003-02-07,ok,3,0,3,4537,6,44890
0000086759-03-000001,86759,2002,2002-06-30,pwc,2003-02-03,ok,4,0,3,2707,7,48676
0000728889-03-000335,357247,2002,2002-06-30,deloitte,2003-06-10,ok,6,0,2,4726,6,135639
0000950109-03-000712,2230,2002,2002-06-30,pwc,2003-02-21,ok,4,0,2,2232,5,83423
0000893220-03-000709,927413,2002,2002-06-30,ey,2003-04-23,ok,16,0,0,8000,12,92884
0000950133-03-000743,1065059,2002,2002-06-30,pwc,2003-03-12,ok,16,0,2,13045,16,109397
0000086759-03-000002,79661,2002,2002-06-30,pwc,2003-02-03,ok,4,0,2,1273,6,45210
0000086759-03-000003,69422,2002,2002-06-30,pwc,2003-02-03,ok,4,0,5,3275,9,60059
0000919574-03-001197,1062417,2002,2002-06-30,pwc,2003-05-23,ok,3,0,0,2174,3,44894
0000950130-03-003112,1005409,2002,2002-06-30,deloitte,2003-04-10,ok,10,0,20,16274,16,122363
0000919574-03-000521,881304,2002,2002-06-30,pwc,2003-02-14,ok,4,0,0,1975,3,44762
0000950137-03-003164,5094,2002,2002-06-30,deloitte,2003-05-27,ok,4,0,0,3837,4,282816
0000088053-03-000554,820028,2002,2002-06-30,pwc,2003-05-20,ok,2,0,0,387,1,39878
0000898432-03-000480,1072377,2002,2002-06-30,pwc,2003-05-23,ok,1,0,0,635,1,31240
0000950116-03-002380,1184702,2002,2002-06-30,ey,2003-04-28,ok,20,3,12,17318,27,242950
0000950131-03-000823,855022,2002,2002-06-30,ey,2003-02-21,ok,52,0,1,18371,33,295986
0000950147-03-000127,906326,2002,2002-06-30,pwc,2003-02-10,ok,7,0,1,2918,7,72059
0001047469-03-016957,932352,2002,2002-06-30,ey,2003-05-05,ok,14,0,0,8530,12,176469
0000950144-03-002823,803352,2002,2002-06-30,ey,2003-03-07,ok,6,0,0,1869,4,51749
0000928389-03-000006,313136,2002,2002-06-30,ey,2003-02-14,ok,9,0,3,10911,9,315808
0000930661-03-001911,1040328,2002,2002-06-30,kpmg,2003-04-29,ok,4,0,0,1718,3,102684
0001133884-03-000050,1166220,2002,2002-06-30,pwc,2003-01-27,ok,4,0,0,1546,3,45587
0001047469-03-015768,318996,2002,2002-06-30,kpmg,2003-04-30,ok,5,0,18,16388,18,96166
0001201800-03-000055,1084103,2002,2002-06-30,ey,2003-05-09,ok,8,0,1,4807,9,88667
0000932384-03-000188,1024452,2002,2002-06-30,kpmg,2003-06-30,ok,8,0,0,7203,7,79164
0001099343-03-000010,102426,2002,2002-06-30,kpmg,2003-03-25,ok,8,0,0,2565,3,46699
0000950144-03-000473,319697,2002,2002-06-30,pwc,2003-01-16,ok,14,0,0,9080,9,98464
0001099343-03-000009,895422,2002,2002-06-30,kpmg,2003-03-20,ok,4,0,0,1510,2,28666
0000950144-03-005868,810029,2002,2002-06-30,deloitte,2003-04-30,ok,8,0,0,5124,8,87385
0000950144-03-007302,353482,2002,2002-06-30,ey,2003-05-28,ok,21,0,0,8636,11,42066
