revelio_metro,cbsa_code,cbsa_title,match_type,auditor_obs
albany metropolitan area,10580,"Albany-Schenectady-Troy, NY",exact_primary,1393
albuquerque metropolitan area,10740,"Albuquerque, NM",exact_primary,498
anaheim metropolitan area,31080,"Los Angeles-Long Beach-Anaheim, CA",manual_submsa,11415
anchorage metropolitan area,11260,"Anchorage, AK",exact_primary,862
atlanta metropolitan area,12060,"Atlanta-Sandy Springs-Roswell, GA",exact_primary,23605
austin metropolitan area,12420,"Austin-Round Rock-San Marcos, TX",exact_primary,5074
bakersfield metropolitan area,12540,"Bakersfield-Delano, CA",exact_primary,21
baltimore metropolitan area,12580,"Baltimore-Columbia-Towson, MD",exact_primary,5865
baton rouge metropolitan area,12940,"Baton Rouge, LA",exact_primary,425
birmingham metropolitan area (alabama),13820,"Birmingham, AL",partial,3671
boise metropolitan area,14260,"Boise City, ID",partial,1128
boston metropolitan area,14460,"Boston-Cambridge-Newton, MA-NH",exact_primary,34243
buffalo metropolitan area,15380,"Buffalo-Cheektowaga, NY",exact_primary,2046
charleston metropolitan area,16700,"Charleston-North Charleston, SC",exact_primary,413
charlotte metropolitan area,16740,"Charlotte-Concord-Gastonia, NC-SC",exact_primary,11247
chattanooga metropolitan area,16860,"Chattanooga, TN-GA",exact_primary,432
chicago metropolitan area,16980,"Chicago-Naperville-Elgin, IL-IN",exact_primary,40534
cincinnati metropolitan area,17140,"Cincinnati, OH-KY-IN",exact_primary,6075
cleveland metropolitan area,17410,"Cleveland, OH",exact_primary,9448
colorado springs metropolitan area,17820,"Colorado Springs, CO",exact_primary,180
columbia metropolitan area,17900,"Columbia, SC",exact_primary,558
columbus metropolitan area,18140,"Columbus, OH",exact_primary,6428
corpus christi metropolitan area,18580,"Corpus Christi, TX",exact_primary,73
dallas metropolitan area,19100,"Dallas-Fort Worth-Arlington, TX",exact_primary,24981
dayton metropolitan area,19430,"Dayton-Kettering-Beavercreek, OH",exact_primary,906
denver metropolitan area,19740,"Denver-Aurora-Centennial, CO",exact_primary,12736
des moines metropolitan area,19780,"Des Moines-West Des Moines, IA",exact_primary,2532
detroit metropolitan area,19820,"Detroit-Warren-Dearborn, MI",exact_primary,10536
el paso metropolitan area,21340,"El Paso, TX",exact_primary,251
eugene metropolitan area,21660,"Eugene-Springfield, OR",exact_primary,72
fayetteville metropolitan area,22180,"Fayetteville, NC",manual_state_fix,72
fort collins metropolitan area,22660,"Fort Collins-Loveland, CO",exact_primary,210
fort lauderdale metropolitan area,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",manual_submsa,3379
fort wayne metropolitan area,23060,"Fort Wayne, IN",exact_primary,368
fort worth metropolitan area,19100,"Dallas-Fort Worth-Arlington, TX",manual_submsa,2466
fresno metropolitan area,23420,"Fresno, CA",exact_primary,406
gainesville metropolitan area,23540,"Gainesville, FL",exact_primary,105
grand rapids metropolitan area,24340,"Grand Rapids-Wyoming-Kentwood, MI",exact_primary,1489
